1605804402 0 1 0
1606172781 1 1 0
1606649665 1 1 1
1606651930 1 2 1
1606678170 1 3 1
1606841430 2 3 1
1606841491 3 3 1
1606844085 3 3 2
1606844387 3 3 3
1606846039 3 3 4
1606847393 3 3 5
1606847639 3 3 6
1606848137 4 3 6
1606848162 5 3 6
1606852733 6 3 6
1606853360 6 4 6
1606854803 7 4 6
1606856530 8 4 6
1606857742 9 4 6
1606857755 10 4 6
1606857865 11 4 6
1606861266 12 4 6
1606861722 12 5 6
1606923441 13 5 6
1606924397 14 5 6
1606924427 14 6 6
1606928018 14 7 6
1606930137 15 7 6
1606938898 16 7 6
1606940773 16 7 7
1606941166 17 7 7
1606942523 17 8 7
